# MyChiniYar offline Chinese-Persian dictionary
# Format: simplified_chinese<TAB>persian_meaning
你好	سلام
您好	سلام (محترمانه)
谢谢	ممنون / متشکرم
再见	خداحافظ
对不起	متأسفم / ببخشید
没关系	اشکالی ندارد
不客气	خواهش می‌کنم
请问	ببخشید، می‌توانم بپرسم؟
可以	می‌شود / می‌توانم
不可以	نمی‌شود / مجاز نیست
喜欢	دوست داشتن
不喜欢	دوست نداشتن
学习	یادگیری / درس خواندن
中文	زبان چینی
汉语	زبان چینی
中国	چین
中国人	فرد چینی
今天	امروز
明天	فردا
昨天	دیروز
现在	اکنون / الان
时间	زمان / وقت
时候	زمان / موقع
什么	چه / چیست
为什么	چرا
怎么	چگونه / چطور
哪里	کجا
哪个	کدام
多少	چقدر / چند
非常	بسیار / خیلی
真的	واقعاً
已经	قبلاً / تاکنون
正在	در حالِ
一起	با هم
需要	نیاز داشتن
知道	دانستن
认识	شناختن / آشنا بودن
觉得	فکر کردن / احساس کردن
希望	امید داشتن
开始	شروع کردن
结束	تمام کردن / پایان یافتن
工作	کار / کار کردن
学校	مدرسه
老师	معلم / استاد
学生	دانش‌آموز / دانشجو
朋友	دوست
家人	اعضای خانواده
孩子	کودک / بچه
爸爸	پدر / بابا
妈妈	مادر / مامان
哥哥	برادر بزرگ‌تر
姐姐	خواهر بزرگ‌تر
弟弟	برادر کوچک‌تر
妹妹	خواهر کوچک‌تر
吃饭	غذا خوردن
喝水	آب نوشیدن
睡觉	خوابیدن
起床	از خواب بیدار شدن
上班	سر کار رفتن
回家	به خانه برگشتن
东西	چیز / کالا
商店	فروشگاه
饭店	رستوران
医院	بیمارستان
机场	فرودگاه
车站	ایستگاه
地铁	مترو
出租车	تاکسی
飞机	هواپیما
火车	قطار
汽车	خودرو / ماشین
手机	تلفن همراه
电脑	رایانه / کامپیوتر
电话	تلفن
问题	سؤال / مشکل
办法	راه‌حل / روش
机会	فرصت
世界	جهان / دنیا
生活	زندگی
国家	کشور
城市	شهر
北京	پکن
上海	شانگهای
广州	گوانگژو
深圳	شنژن
日本	ژاپن
美国	آمریکا
英国	بریتانیا / انگلستان
人民币	یوان چین
美元	دلار آمریکا
价格	قیمت
便宜	ارزان
贵	گران
好吃	خوشمزه
漂亮	زیبا
高兴	خوشحال
快乐	شاد
天气	آب‌وهوا
下雨	باران آمدن
下雪	برف باریدن
太阳	خورشید
春天	بهار
夏天	تابستان
秋天	پاییز
冬天	زمستان
早上	صبح
晚上	شب / عصر
下午	بعدازظهر
上午	قبل از ظهر
这里	اینجا
那里	آنجا
因为	زیرا / چون
所以	بنابراین / پس
但是	اما / ولی
如果	اگر
虽然	اگرچه / هرچند
然后	سپس / بعد
还有	همچنین / هنوز هست
没有	نداشتن / نیست
不是	نیست / نمی‌باشد
不要	نکن / نخواه
不能	نمی‌تواند / نمی‌شود
不会	بلد نیست / نخواهد
应该	باید / شایسته است
可能	ممکن است
当然	البته / مسلماً
找到	پیدا کردن
看到	دیدن
听到	شنیدن
告诉	گفتن / اطلاع دادن
帮助	کمک کردن
使用	استفاده کردن
打开	باز کردن
关闭	بستن / خاموش کردن
下载	دانلود کردن
安装	نصب کردن
信息	اطلاعات
语言	زبان
